code	r	pubDate	total_assets	total_liability	market_cap	roe	pcf_ratio	pe_ratio_lyr	pb_ratio	net_profit_to_total_revenue	eps
000400.XSHE	-0.0059302325581395325	2016-04-28	12381466624.0	5489445376.0	145.905	0.57	186.2961	20.2467	2.3196	2.16	0.0356
000585.XSHE	0.008837209302325589	2016-04-29	464065120.0	172003872.0	64.9787	-1.58	-312.5231	1317.1353	21.8793	-25.95	-0.0053
000682.XSHE	-0.0008139534883720963	2016-04-28	3285547776.0	1369158016.0	52.3317	0.38	-109.8335	118.4908	3.517	5.04	0.0059
000806.XSHE	0.026976744186046515	2016-04-29	2679218432.0	606088192.0	213.8228	-0.63	87.9354	819.6782	10.6008	-7.31	-0.0115
000922.XSHE	-0.0077906976744186035	2016-04-21	3167258624.0	1327023744.0	51.593999999999994	-1.62	-18.9048	-20.7547	2.7587	-11.35	-0.0552
000967.XSHE	-0.0009302325581395357	2016-04-23	5257845248.0	1895055872.0	92.96	1.47	-52.0421	153.6091	2.9771	5.15	0.1014
002028.XSHE	-0.0038372093023255824	2016-04-30	5834629120.0	1690406656.0	80.8775	1.24	17.1504	21.1657	2.0592	7.24	0.078
002058.XSHE	0.04337209302325582	2016-04-29	221371632.0	42918160.0	34.7575	-2.96	159.3104	594.992	19.0566	-37.32	-0.0371
002074.XSHE	-0.04581395348837207	2016-04-27	7606944768.0	4254840832.0	321.8834	9.66	28.444000000000003	55.0593	9.9703	26.11	0.3494
002090.XSHE	0.022558139534883736	2016-04-27	2757848832.0	1519513984.0	58.3005	1.96	43.8512	44.7446	5.4209	7.03	0.0917
002112.XSHE	0.010581395348837211	2016-04-29	1444690048.0	959413120.0	38.5459	0.18	-398.6948	230.6798	7.9573	0.7	0.0043
002121.XSHE	0.00046511627906975755	2016-04-30	10547810304.0	8089814528.0	123.7067	0.42	-308.5873	98.4187	5.3135	2.61	0.0207
002123.XSHE	0.01081395348837209	2016-04-27	7102866432.0	2083580544.0	148.9698	1.46	63.0607	-57.81100000000001	3.0892	12.01	0.0831
002168.XSHE	0.0005813953488371969	2016-04-22	1377255808.0	231570448.0	69.4313	-1.54	1065.4955	54.1031	5.7297	-45.39	-0.0227
002169.XSHE	-0.02151162790697674	2016-04-27	2965155328.0	1658843008.0	56.5207	0.88	31.6347	52.3259	4.9179	4.3	0.0323
002176.XSHE	-0.020232558139534885	2016-04-26	9457982464.0	4277577728.0	195.4012	1.04	-45.498999999999995	496.0962	4.3184	7.04	0.025
002184.XSHE	0.025581395348837202	2016-04-27	1852540288.0	907593600.0	60.653999999999996	1.12	102.3374	77.9009	7.4592	3.08	0.0416
002196.XSHE	-0.020813953488372103	2016-04-29	2798479104.0	535932640.0	69.2794	0.82	360.1951	117.3486	3.1313	7.42	0.0683
002202.XSHE	-0.009651162790697655	2016-04-29	52296929280.0	34534227968.0	449.1758	2.19	-13.2798	15.7633	2.6798	9.69	0.1354
002212.XSHE	-0.057674418604651174	2016-04-29	2974912768.0	1164026752.0	45.8213	0.69	43.1785	88.4744	2.5481	3.08	0.0243
002218.XSHE	-0.008255813953488372	2016-04-28	4353445888.0	1715001088.0	54.8318	1.04	43.2072	-1019.6643	2.1029	8.38	0.0441
002227.XSHE	0.006046511627906972	2016-04-29	979213440.0	206095712.0	73.8722	-1.2	169.3128	90.4324	9.5076	-15.85	-0.0419
002249.XSHE	-0.02360465116279069	2016-04-29	12675639296.0	4126952192.0	230.8278	1.26	37.944	67.6569	2.7988	6.21	0.0317
002255.XSHE	-0.008023255813953483	2016-04-22	3561605632.0	1198199936.0	48.3474	0.62	30.5955	57.0103	2.1445	6.62	0.0225
002266.XSHE	0.003604651162790693	2016-04-26	5259609088.0	2128547584.0	123.4721	0.21	-97.2308	121.9967	4.2531	6.48	0.0031
002276.XSHE	0.020465116279069745	2016-04-29	4825482752.0	1632147840.0	196.0372	0.92	112.3527	83.2761	6.6559	2.22	0.028999999999999998
002298.XSHE	-0.0025581395348837077	2016-04-20	5023056896.0	1886965632.0	96.0771	0.99	67.4972	144.806	3.2119999999999997	10.42	0.047
002300.XSHE	-0.002558139534883718	2016-04-28	2971601408.0	1624181504.0	45.9938	1.76	-134.5716	27.6265	3.6042	3.29	0.0501
002309.XSHE	-0.026744186046511634	2016-04-29	20572049408.0	14875544576.0	82.287	0.24	-9.7294	28.814	1.8073	0.81	0.0194
002322.XSHE	0.0006976744186046363	2016-04-30	3208873216.0	336827712.0	71.5226	0.28	33.5629	116.1795	2.5001	12.3	0.02
002323.XSHE	0.019651162790697688	2016-04-28	1075629952.0	454330336.0	109.1251	2.2	226.0424	157.4085	26.4133	12.35	0.0458
002334.XSHE	0.009186046511627917	2016-04-28	2165830144.0	330296768.0	62.1559	0.27	-2193.7444	41.748999999999995	3.6564	1.57	0.0058
002335.XSHE	-0.04755813953488376	2016-04-29	3223853824.0	1665198336.0	95.361	1.77	47.7728	75.1106	7.4176	7.95	0.1025
002339.XSHE	-0.014186046511627894	2016-04-23	2358075904.0	823704640.0	68.5802	-2.35	144.0596	52.88	4.6538	-22.74	-0.0905
002350.XSHE	-0.02372093023255814	2016-04-16	1889069056.0	730745792.0	32.4582	0.1	-27.1234	44.0831	2.9798	-0.2	0.0051
002356.XSHE	-0.013488372093023258	2016-04-29	3387834368.0	1635549824.0	74.7002	1.3	-184.2824	70.7445	4.8122	8.0	0.0652
002358.XSHE	-0.02139534883720928	2016-04-29	4870769664.0	2631428608.0	113.0541	1.96	-253.9827	43.6241	5.2087	9.91	0.0539
002359.XSHE	0.020465116279069787	2016-04-20	1382869376.0	435536992.0	105.2837	0.66	-739.9447	923.6821	11.1864	4.32	0.015
