code	r	pubDate	total_assets	total_liability	market_cap	roe	pcf_ratio	pe_ratio_lyr	pb_ratio	net_profit_to_total_revenue	eps
000400.XSHE	0.018461538461538522	2017-08-25	14722226176.0	7109563392.0	181.0956	1.5577	42.8469	20.8413	2.5478	5.2862	0.1099
000585.XSHE	-0.0007692307692307529	2017-08-26	350078368.0	162842144.0	45.4152	-2.3734	-330.6382	-45.6463	24.4949	-38.3695	-0.005
000591.XSHE	-0.008205128205128212	2017-08-24	31495190528.0	19723239424.0	154.5648	2.7677	-17.7922	23.6609	1.3678	18.5129	0.1058
000682.XSHE	-0.0012820512820512775	2017-08-17	4491682304.0	1459110272.0	50.8645	1.0447	5.4808	85.1633	2.9739	6.9338	0.0182
000806.XSHE	0.0	2017-08-26	3044462848.0	915757568.0	148.4881	-0.3915	-50.6351	1153.4452	7.3124	-3.1439999999999997	-0.0073
000922.XSHE	-0.0007692307692307984	2017-08-29	2781002752.0	1341917184.0	40.6119	0.8993	-12.8975	-9.3004	2.8476	3.1023	0.0237
002028.XSHE	-0.08923076923076924	2017-08-22	6433150976.0	2020813184.0	121.1774	3.0079	19.7444	34.4817	2.9212	11.1145	0.1681
002058.XSHE	0.02051282051282053	2017-08-23	205626128.0	25471308.0	31.5873	-0.1163	191.11	602.4236	17.5129	-0.8625	-0.0015
002074.XSHE	0.016410256410256424	2017-08-30	11980899328.0	7662031872.0	276.8828	5.7662	-658.802	26.8573	6.9075	18.930999999999997	0.2771
002090.XSHE	-0.036410256410256456	2017-08-29	4077652480.0	2711725056.0	56.4782	3.5533	10.1058	51.7259	4.7743	6.1407	0.1815
002112.XSHE	-0.004102564102564015	2017-08-30	1147133184.0	672195520.0	33.143	-3.6569	-100.3865	630.5752	6.7278	-14.1327	-0.0878
002121.XSHE	-0.019230769230769232	2017-08-17	14724712448.0	10014273536.0	121.0427	1.923	5.5048	44.5345	2.6821	12.2389	0.062
002129.XSHE	0.0	2017-08-25	25169266688.0	14311644160.0	218.6784	1.5835	17.1941	54.3967	2.053	6.659	0.0641
002168.XSHE	0.0	2017-08-01	2046462720.0	696648192.0	139.4182	-4.3219	387.5477	183.6565	9.9911	-60.0444	-0.0723
002169.XSHE	0.0035897435897436045	2017-08-30	3773802496.0	850653888.0	59.242	2.0804	107.5459	53.1915	2.2289	17.9081	0.0719
002176.XSHE	-0.04692307692307692	2017-08-08	7858638848.0	4001419520.0	128.1127	0.4435	-20.5469	64.9339	3.4153	2.4663	0.0114
002184.XSHE	-0.006923076923076912	2017-07-29	2183426048.0	945841344.0	33.9944	1.8453	-146.8089	253.1806	3.0663	4.4823	0.083
002196.XSHE	-0.034871794871794856	2017-08-15	2993392128.0	580728448.0	51.5378	1.4709	-67.7854	43.568999999999996	2.1922	11.9858	0.0777
002202.XSHE	-0.0669230769230769	2017-08-26	64953942016.0	43638104064.0	423.1882	4.6754	41.8669	14.0923	2.2685	15.6544	0.3481
002212.XSHE	-0.1287179487179487	2017-08-29	8844427264.0	1262495232.0	146.4594	0.2464	81.5116	208.4065	1.9288	1.6533	0.0163
