code	r	pubDate	total_assets	total_liability	market_cap	roe	pcf_ratio	pe_ratio_lyr	pb_ratio	net_profit_to_total_revenue	eps
000400.XSHE	0.17152941176470587	2015-04-29	10444304384.0	4197442048.0	274.265	0.19	-47.3211	25.8186	4.8376	1.56	0.0105
000585.XSHE	0.020941176470588237	2015-04-21	475922752.0	191799328.0	54.5856	-0.93	277.6805	884.8224	19.0733	-9.23	-0.003
000682.XSHE	0.03552941176470588	2015-04-30	3071292416.0	1299535616.0	66.6129	0.37	116.0563	182.5766	4.628	5.09	0.0056
000806.XSHE	-0.0948235294117647	2015-04-28	3150887168.0	1138347904.0	138.9189	2.18	147.8884	1137.4985	7.1708	21.54	0.0279
000862.XSHE	0.0516470588235294	2015-04-29	9566441472.0	7706935808.0	53.5675	-0.32	20.8673	276.6785	3.1699	-1.31	-0.01
000922.XSHE	0.08517647058823527	2015-04-28	3773068032.0	1482699520.0	105.9451	-1.22	1543.9175	55.381	4.2887	-9.23	-0.0451
000967.XSHE	0.05152941176470588	2015-04-29	2649647104.0	1084970496.0	40.2347	0.57	-145.0642	66.4846	2.8967	1.17	0.0268
002028.XSHE	0.0763529411764706	2015-04-30	5277149184.0	1444017152.0	103.2436	1.48	-28.2374	22.6268	2.8907	9.78	0.0854
002058.XSHE	-0.011529411764705887	2015-04-25	228348336.0	32157228.0	23.2386	-2.23	745.9089	397.8073	11.8327	-26.03	-0.0303
002074.XSHE	0.06047058823529412	2015-04-28	1274964992.0	746246464.0	71.9565	1.86	-180.8523	191.1636	14.5359	8.13	0.0366
002090.XSHE	0.07929411764705885	2015-04-28	1726469504.0	878488576.0	56.4387	7.31	111.895	95.5417	7.7852	19.79	0.2626
002112.XSHE	-0.046235294117647055	2015-04-24	1296198912.0	813836416.0	28.3248	0.31	182.6929	144.9975	5.9411	0.95	0.0072
002121.XSHE	0.04376470588235295	2015-04-28	5434007040.0	3944624640.0	109.5559	0.57	47.31399999999999	127.4989	7.5542	2.53	0.0209
002123.XSHE	0.046235294117647034	2015-04-25	3485977600.0	1646640384.0	68.04	0.58	-38.7369	89.711	3.8039	4.6	0.0207
002168.XSHE	0.054235294117647055	2015-04-23	1627208576.0	372166432.0	99.635	1.89	571.0694	-112.1355	9.5475	46.65	0.0262
002169.XSHE	-0.007294117647058825	2015-04-29	1619015936.0	927801152.0	39.4646	0.24	-63.7435	195.8162	6.6197	1.83	0.0055
002176.XSHE	-0.021294117647058807	2015-04-28	2296339200.0	272241344.0	82.3974	0.94	21.3675	212.6939	4.3058	11.16	0.0344
002180.XSHE	-0.07258823529411766	2015-04-22	708222784.0	61925184.0	99.3854	10.24	20.2666	2566.6614	17.6369	57.29	0.1438
002184.XSHE	0.11058823529411763	2015-04-29	1541124608.0	645284544.0	82.94	1.13	188.4817	149.6088	10.7955	3.37	0.0397
002196.XSHE	0.0058823529411764705	2015-04-29	1278536448.0	393307520.0	34.4714	0.66	4069.7709999999997	633.8778	3.9818	2.85	0.031
002202.XSHE	0.05247058823529411	2015-04-25	43327614976.0	27970691072.0	513.5885	1.68	9.7873	28.0698	3.4778	9.89	0.0923
002212.XSHE	0.0	2015-04-29	2944356352.0	1183783680.0	50.8219	0.55	-35.2323	101.9528	2.9034	2.67	0.0189
002218.XSHE	0.030823529411764708	2015-04-28	4216133632.0	1618110208.0	64.7939	0.34	1360.5408	499.1572	4.6172	4.78	0.011000000000000001
002227.XSHE	0.1661176470588235	2015-04-25	953639296.0	198002560.0	74.5907	-1.66	255.2362	145.0861	9.781	-29.92	-0.0573
002249.XSHE	-0.00870588235294118	2015-04-24	6256295936.0	2548122624.0	165.0464	1.52	-17.3403	55.5941	4.828	5.71	0.0312
002255.XSHE	-0.01658823529411765	2015-04-23	3183416576.0	1501622016.0	37.3357	0.75	-50.3663	36.3918	2.4113	4.82	0.0453
002266.XSHE	0.022352941176470593	2015-04-29	5133278720.0	2071432576.0	167.8868	0.21	212.9875	183.5575	5.8704	3.82	0.0039
002276.XSHE	-0.030470588235294117	2015-04-18	4323154944.0	1569438208.0	109.4675	0.95	77.084	49.7541	4.0282	2.59	0.0276
002298.XSHE	0.05188235294117647	2015-04-24	2164295424.0	842044608.0	37.1222	0.17	-25.826	247.5054	2.8989999999999996	1.26	0.0052
002300.XSHE	0.0271764705882353	2015-04-29	2904244992.0	1614237824.0	45.0441	1.33	125.7276	32.493	3.6888	2.37	0.0362
002309.XSHE	0.12858823529411764	2015-04-28	15660022784.0	10547778560.0	155.6553	-1.26	16.7256	89.7544	3.7085	-4.0	-0.0927
002322.XSHE	0.11752941176470587	2015-04-27	1296126080.0	65539736.0	52.9725	-0.68	434.4814	39.7944	4.2919	-49.26	-0.0295
002323.XSHE	0.010941176470588253	2015-04-28	964982720.0	107980320.0	30.7809	0.48	-48.2637	245.227	3.609	5.82	0.0381
002334.XSHE	0.060352941176470574	2015-04-29	1821940352.0	254303856.0	85.7737	1.34	435.5969	52.9748	5.9008	9.77	0.055
002335.XSHE	0.2549411764705882	2015-04-23	2192232192.0	939793280.0	74.6347	0.9	132.1427	58.7856	6.5993	5.24	0.0455
002339.XSHE	0.15611764705882353	2015-04-29	1847532416.0	443669888.0	88.8511	-0.74	142.2273	68.5102	6.5706	-8.44	-0.0264
002350.XSHE	0.045529411764705895	2015-04-28	1603302016.0	473853216.0	31.3887	0.14	-15.9753	42.6305	2.9085	0.39	0.0072
002356.XSHE	0.09082352941176469	2015-04-27	2359693056.0	878586176.0	65.7481	0.08	-184.3682	150.9155	4.5011	-0.01	0.0111
002358.XSHE	0.07352941176470588	2015-04-29	3996919296.0	1845767424.0	185.2942	1.57	-83.8001	71.3163	8.9111	11.79	0.0826
002359.XSHE	-0.06352941176470589	2015-04-24	1488292864.0	569873408.0	26.5918	-1.18	-18.5141	-32.3314	2.8614	-7.34	-0.0261
002364.XSHE	0.1316470588235294	2015-04-29	1177841152.0	188625232.0	116.6831	2.65	-217.5948	92.8198	12.0838	17.98	0.0986
002441.XSHE	0.0752941176470588	2015-04-28	3760814848.0	1430267904.0	79.4136	2.66	240.4774	37.5147	3.5692	4.45	0.2585
002451.XSHE	0.04576470588235293	2015-04-30	1655434112.0	969770816.0	47.214	1.07	-96.7261	178.7179	7.1123	7.31	0.0163
002452.XSHE	0.02635294117647059	2015-04-28	1416947456.0	218038784.0	55.6163	1.65	33.1957	61.513999999999996	4.7444	21.27	0.0749
002471.XSHE	-0.022235294117647065	2015-04-27	5806411264.0	3557208832.0	94.9478	1.3	-48.1363	57.5413	5.7832	1.93	0.0423
002498.XSHE	-0.013176470588235295	2015-04-23	5554632192.0	1296864128.0	149.1692	0.92	41.8841	34.3842	3.5355	4.0	0.0363
