code	r	pubDate	total_assets	total_liability	market_cap	roe	pcf_ratio	pe_ratio_lyr	pb_ratio	net_profit_to_total_revenue	eps
600290.XSHG	0.010975609756097559	2017-10-31	6840450108.42	2641869552.23	98.1795	0.5985	-8.0698	-202.7597	2.3838	4.939	0.0325
600312.XSHG	0.020894308943089433	2017-10-28	19522284777.43	10531555445.57	160.2524	1.3037	96.2299	13.1366	1.8714	5.8389	0.0828
600353.XSHG	0.01268292682926829	2017-10-28	1667664811.94	433551397.22	45.2375	0.8865	73.958	103.8146	4.2203	5.572	0.02
600379.XSHG	0.02617886178861789	2017-10-28	761081476.26	266054034.23	28.5153	2.2951	-26.5206	78.8924	6.0224	5.2646	0.0477
600401.XSHG	0.004552845528455284	2017-10-31	15724720703.32	12859114478.92	69.929	-12.4662	56.0092	-5.9295	2.1459	-55.772	-0.0808
600405.XSHG	0.016910569105691064	2017-10-30	2972225330.65	1648675027.1	50.5215	0.3584	14.3574	185.9931	3.8477	2.0164	0.008
600406.XSHG	-0.001544715447154482	2017-10-28	17540308830.1	8476349345.73	401.2631	5.8565	41.1728	27.7273	4.7367	17.0536	0.21
600416.XSHG	0.01886178861788618	2017-10-31	22043127084.95	15199923390.86	116.71600000000001	0.5433	-37.7659	84.1023	1.8209	1.7161	0.05
600468.XSHG	0.0012195121951219469	2017-10-30	2666227282.38	757373720.13	52.7224	0.6512	23.6107	98.9996	2.9825	3.6946	0.0185
600475.XSHG	0.05373983739837399	2017-10-28	10244202717.71	5370082019.87	100.6347	1.3128	-17.4037	93.2745	2.2511	6.0018	0.11
600482.XSHG	0.005284552845528444	2017-10-24	43354527836.77	15701535911.07	435.4934	0.9674	-33.8877	40.5771	1.7163	5.1516	0.14
600517.XSHG	0.014227642276422764	2017-10-26	9260994508.91	5653329356.86	95.7454	0.3802	-56.32899999999999	20.2516	2.8391	1.0547	0.01
600525.XSHG	0.004634146341463417	2017-10-30	20853619104.21	12415652388.17	262.145	4.7732	-82.4143	40.9565	3.5483	17.2983	0.2802
600537.XSHG	0.007073170731707318	2017-10-30	6462394728.63	2854517769.52	60.5825	0.8413	13.2272	16.8657	1.7831	3.1081	0.02
600550.XSHG	0.017967479674796748	2017-10-26	9988734057.99	9302621160.84	136.1196	-2.4107	303.4127	124.7338	27.8132	-1.0311	-0.01
600580.XSHG	-0.0032520325203252063	2017-10-30	17424023564.48	11213151347.48	105.5609	10.1056	42.5443	41.6565	2.0266	21.3553	0.4302
600590.XSHG	0.013252032520325195	2017-10-30	8681797905.72	4782053677.81	94.7751	1.3997	42.1104	76.5369	2.5466	5.6339999999999995	0.08
600847.XSHG	0.04317073170731708	2017-10-31	895032551.6	222951657.47	23.3763	0.6069	-27.024	-54.7452	3.5021	2.6205	0.0265
600869.XSHG	0.012845528455284553	2017-10-27	18539008155.55	12427769490.43	160.4592	0.6807	-18.6095	55.9632	2.8899	1.2068	0.0174
