code	r	pubDate	total_assets	total_liability	market_cap	roe	pcf_ratio	pe_ratio_lyr	pb_ratio	net_profit_to_total_revenue	eps
000400.XSHE	-0.10378378378378383	2015-08-28	10552108032.0	4223731968.0	253.6952	1.13	-96.6614	23.8822	4.4664	5.97	0.0642
000585.XSHE	-0.02972972972972972	2015-08-18	492617952.0	207601776.0	61.8346	0.39	11745.7705	1002.3268	21.796	2.99	0.0013
000682.XSHE	-0.044324324324324336	2015-08-11	3035671552.0	1203746048.0	80.6006	0.97	-232.6181	182.498	5.4897	5.83	0.0146
000806.XSHE	0.0	2015-07-29	2557687552.0	501609472.0	295.8763	3.47	26.5338	1134.2255	14.8697	30.81	0.0633
000922.XSHE	-0.07621621621621623	2015-08-18	3725808128.0	1458806400.0	102.1316	-1.03	60.8383	-297.8303	4.4592	-5.04	-0.0392
000967.XSHE	-0.03135135135135136	2015-08-04	2662703616.0	1049529216.0	76.5746	1.8	185.4691	126.5335	5.1882	3.71	0.0893
002028.XSHE	-0.05351351351351352	2015-08-22	5374591488.0	1540545792.0	114.9964	2.41	-39.2862	25.2026	3.2261	10.66	0.1406
002058.XSHE	-0.11918918918918919	2015-08-24	225231760.0	34358856.0	30.1672	-1.13	-568.8658	516.4128	15.946	-10.82	-0.0149
002074.XSHE	-0.21324324324324326	2015-08-28	5055397376.0	2315186944.0	213.9446	13.25	-485.3552	568.3768	4.6519	27.66	0.2456
002090.XSHE	-0.03891891891891895	2015-08-18	2040565248.0	980944064.0	61.3239	2.97	36.7713	57.0692	8.2722	9.13	0.1153
002112.XSHE	0.0	2015-08-27	1355593600.0	875097664.0	34.2922	0.9	-168.0545	205.22299999999998	7.1708	1.9	0.0213
002121.XSHE	-0.07405405405405406	2015-08-18	6365113856.0	4137887488.0	142.9707	3.29	78.796	113.7448	6.6596	9.64	0.126
002123.XSHE	-0.20648648648648646	2015-08-26	3683648256.0	1817412992.0	112.14	0.89	-45.4031	-43.5184	6.2331	3.4	0.0321
002168.XSHE	-0.03513513513513511	2015-07-14	1222928128.0	75999216.0	117.5027	8.07	524.8544	-132.2449	11.050999999999998	194.46	0.1178
002169.XSHE	-0.0989189189189189	2015-08-07	1694933248.0	990761344.0	70.7751	3.66	-407.0241	169.5322	11.8428	11.23	0.0828
002176.XSHE	0.0	2015-08-13	2421580032.0	385847488.0	146.0657	0.86	87.3134	377.0422	7.5822	7.12	0.0318
