code	r	pubDate	total_assets	total_liability	market_cap	roe	pcf_ratio	pe_ratio_lyr	pb_ratio	net_profit_to_total_revenue	eps
000400.XSHE	-0.007317073170731696	2016-10-28	13217167360.0	6247035392.0	147.6191	2.12	-17386.6934	20.4845	2.3436	7.87	0.1339
000585.XSHE	0.014065040650406507	2016-10-27	438860416.0	162130000.0	63.0573	-3.63	-1510.0886	1278.1877	22.0599	-70.61	-0.0117
000591.XSHE	0.006829268292682933	2016-10-19	29199796224.0	17930100736.0	204.0726	1.71	35.7988	43.1667	1.8759	27.19	0.1371
000682.XSHE	0.0	2016-10-27	3390144000.0	1432148864.0	50.8645	0.43	60.6068	101.3042	3.3163	4.0	0.0068
000806.XSHE	0.05788617886178861	2016-10-28	2832541184.0	734016640.0	194.7944	-0.15	-143.3592	190.0159	9.6331	-1.43	-0.0027
000922.XSHE	0.04260162601626016	2016-10-26	2997283072.0	1401664512.0	49.2019	-2.69	503.0369	-19.7924	3.0016	-13.26	-0.08
000967.XSHE	0.0037398373983739764	2016-10-27	5830007296.0	2304598784.0	114.0542	1.31	69.9933	101.7419	3.4448	7.93	0.092
002028.XSHE	-0.04837398373983741	2016-10-22	6132616192.0	1905780864.0	82.4262	2.33	29.7994	21.570999999999998	2.0754	10.04	0.13
002058.XSHE	0.006747967479674783	2016-10-29	208238784.0	26210672.0	34.7575	0.98	173.4367	-312.197	19.282	6.64	0.012
002074.XSHE	0.0348780487804878	2016-10-27	9099590656.0	5439947776.0	290.0718	5.77	150.4041	49.6178	8.4613	19.94	0.23
002090.XSHE	0.03422764227642277	2016-10-29	3390736640.0	2081470976.0	65.2404	2.42	53.3064	50.0709	5.8141	9.68	0.1157
002112.XSHE	0.046504065040650425	2016-10-26	1253582208.0	734781120.0	39.8765	-4.27	60.9648	412.7191	7.3651	-24.32	-0.11
002121.XSHE	0.008211382113821136	2016-10-29	11398502400.0	8865639424.0	113.2521	-0.15	881.8428	57.724	4.7494	-0.65	-0.0031
002123.XSHE	0.03479674796747968	2016-10-25	7079880704.0	1931681536.0	148.539	0.42	174.3717	150.7104	2.8841	3.09	0.03
002168.XSHE	-0.021788617886178845	2016-10-25	1794467712.0	553775616.0	108.8721	2.12	19.088	84.8366	9.427999999999999	34.09	0.0325
