code	r	pubDate	total_assets	total_liability	market_cap	roe	pcf_ratio	pe_ratio_lyr	pb_ratio	net_profit_to_total_revenue	eps
000400.XSHE	-0.034054054054054095	2016-08-25	12934439936.0	6067094016.0	155.6857	1.17	242.6535	21.6039	2.5009	4.66	0.0731
000585.XSHE	-0.028918918918918925	2016-08-19	454728448.0	168539248.0	58.3411	-2.94	-4322.2168	1182.5892	19.9997	-51.48	-0.0097
000591.XSHE	-0.005675675675675675	2016-08-16	29162854400.0	18073292800.0	206.2596	2.27	36.4545	43.6293	1.9303	14.18	0.1401
000682.XSHE	0.0035135135135135106	2016-08-12	3297655296.0	1358628608.0	51.9405	1.11	626.742	103.4472	3.4207	6.49	0.0173
000806.XSHE	-0.023513513513513443	2016-08-19	2729761280.0	628517120.0	213.8228	0.95	-32.9749	208.5776	10.705	6.02	0.0173
000922.XSHE	-0.11756756756756756	2016-08-27	3019799552.0	1380619520.0	52.7357	-11.56	22.4091	-21.2139	2.8657	-68.81	-0.3698
000967.XSHE	-0.050270270270270256	2016-08-27	5460589568.0	2072268800.0	107.6047	2.08	84.176	95.9887	3.2562	7.58	0.1421
002028.XSHE	-0.00432432432432428	2016-08-20	5996460544.0	1892457088.0	82.7255	2.41	-214.2183	21.6493	2.1476	10.91	0.1266
002058.XSHE	-0.044324324324324246	2016-08-27	207270096.0	27011594.0	32.7206	1.79	314.1568	-293.9007	18.4794	12.0	0.0223
002074.XSHE	0.033783783783783786	2016-08-23	8465583616.0	5014477824.0	345.8953	6.73	31.6423	59.1666	10.8288	18.57	0.2595
002090.XSHE	-0.026486486486486497	2016-08-29	3292713728.0	2047974656.0	68.0558	2.47	-168.7975	52.2316	6.3948	11.23	0.1169
002112.XSHE	-0.07351351351351358	2016-08-26	1414509440.0	873084544.0	51.6701	7.86	220.8793	534.7822	10.692	23.53	0.2003
002121.XSHE	0.017837837837837843	2016-08-31	11146609664.0	8615734272.0	140.0479	2.7	-131.2471	71.3816	6.0656	7.18	0.0534
002123.XSHE	0.03324324324324326	2016-08-22	7182350336.0	2002680192.0	179.1256	1.49	575.6948	181.7442	3.5891	11.77	0.0878
002168.XSHE	0.013243243243243248	2016-07-20	1392584320.0	237806304.0	109.9655	-0.29	-37.8982	85.6886	9.5982	-4.86	-0.0042
002169.XSHE	0.014054054054054042	2016-07-30	3038639360.0	1702467328.0	71.9153	4.7	182.24400000000003	66.5779	6.3761	19.73	0.174
002176.XSHE	0.0227027027027027	2016-08-25	8730008576.0	3998048512.0	226.25400000000002	1.52	43.4888	574.4272	4.8855	9.36	0.0478
