code	r	pubDate	total_assets	total_liability	market_cap	roe	pcf_ratio	pe_ratio_lyr	pb_ratio	net_profit_to_total_revenue	eps
000400.XSHE	0.0062790697674418505	2017-04-28	13943459840.0	6342232576.0	178.1714	0.7013	19.9644	20.5048	2.5243	4.4719999999999995	0.0493
000585.XSHE	0.009186046511627898	2017-04-25	378900736.0	188555536.0	66.1141	-8.0185	-83.5681	-66.4505	32.6023	-275.7288	-0.0178
000591.XSHE	0.0006976744186046466	2017-04-22	30341210112.0	18820028416.0	195.188	0.6606	-51.6207	29.8796	1.7278	13.1758	0.0548
000682.XSHE	-0.0006976744186046466	2017-04-29	4329726976.0	1338768128.0	50.8645	0.5093	156.2854	101.3042	3.3021	5.8862	0.0085
000806.XSHE	0.0012790697674418539	2017-04-28	2965705216.0	856295744.0	128.6897	-0.6485	181.1587	125.5328	6.3688	-6.4268	-0.012
000922.XSHE	0.0018604651162790714	2017-04-28	2785739520.0	1359537024.0	53.3338	-0.5158	936.2175	-12.2138	3.7203	-3.3228	-0.0136
000967.XSHE	0.002441860465116289	2017-04-12	6478192640.0	2928413440.0	111.9448	1.9632	32.4524	99.8602	3.2343	7.5174	0.0914
002028.XSHE	0.029651162790697683	2017-04-22	6161838080.0	1808557952.0	119.0488	0.4064	44.7049	33.876	2.8311	2.5660000000000003	0.0225
002058.XSHE	0.04488372093023255	2017-04-25	208122352.0	24887230.0	37.6552	-2.3723	265.1636	718.148	20.0684	-31.5003	-0.0307
002074.XSHE	-0.0018604651162790714	2017-04-26	10888448000.0	6724217344.0	289.7835	5.0029	85.4597	28.1087	7.3146	18.2249	0.2302
002090.XSHE	-0.0041860465116279	2017-04-26	3746829312.0	2373949440.0	53.7141	2.8509	12.9584	49.1944	4.4873	7.5291	0.1443
002112.XSHE	-0.03162790697674422	2017-04-28	1111223552.0	618594432.0	31.873	-2.5613	-183.7928	329.8832	6.3064	-14.4614	-0.0634
002121.XSHE	-0.010348837209302311	2017-04-26	14327702528.0	9683591168.0	132.9485	1.3272	150.1381	67.7631	2.9803	5.8958	0.0338
002123.XSHE	0.01965116279069767	2017-04-27	6867509248.0	1713081088.0	119.8479	0.7788	-101.7151	121.5999	2.3299	6.972	0.0466
002168.XSHE	0.0	2017-04-24	2087477248.0	692058432.0	140.4826	-0.4045	-44.3324	185.0586	10.2946	-10.4533	-0.0068
002169.XSHE	0.01732558139534883	2017-04-28	3667411200.0	733074240.0	76.0613	0.3868	17.3318	70.4162	2.7993	3.2231	0.0267
002176.XSHE	-0.03848837209302324	2017-04-27	7521875968.0	3661829632.0	165.283	1.2099	32.4853	83.7737	4.4356	13.0659	0.0309
002184.XSHE	0.02395348837209303	2017-04-20	2121675648.0	885299200.0	44.1442	-1.5813	-216.1056	328.7732	3.9764	-4.6086	-0.0728
