code	r	pubDate	total_assets	total_liability	market_cap	roe	pcf_ratio	pe_ratio_lyr	pb_ratio	net_profit_to_total_revenue	eps
000400.XSHE	0.04435483870967741	2015-10-29	10633775104.0	4333743104.0	163.4499	1.56	-53.0339	15.3867	2.8955	7.22	0.08900000000000001
000585.XSHE	-0.005322580645161291	2015-10-28	495990496.0	206463728.0	48.6467	0.23	-428.4477	788.5537	17.0936	1.65	0.0007
000682.XSHE	0.013629032258064519	2015-10-31	3131205632.0	1280257792.0	50.7667	0.37	-257.5519	114.9472	3.4245	3.85	0.0056
000806.XSHE	0.06016129032258062	2015-10-30	2608076288.0	536852672.0	295.8763	0.15	61.4194	1134.2255	14.6409	1.36	0.0027
000922.XSHE	0.04919354838709677	2015-10-29	3579478784.0	1425867392.0	79.9653	-5.13	107.3288	-233.1903	3.5274	-30.8	-0.2
000967.XSHE	-0.0020161290322580645	2015-10-30	2434055424.0	960391872.0	41.7066	0.66	321.7537	68.9169	2.7039999999999997	1.75	0.032
002028.XSHE	0.010322580645161285	2015-10-24	5773252608.0	1803663744.0	72.3629	2.57	-40.2751	15.859000000000002	1.9756	10.63	0.15
002058.XSHE	-0.042177419354838715	2015-10-17	231018176.0	41986484.0	28.6036	-0.86	168.9956	489.6468	15.2919	-7.16	-0.011000000000000001
002074.XSHE	0.01588709677419354	2015-10-29	5426181120.0	2637356544.0	254.2155	4.06	54.0735	675.3627	9.4256	18.25	0.11
002090.XSHE	0.014032258064516117	2015-10-31	2270370048.0	1178880256.0	61.8981	2.01	43.3168	57.6035	6.2964	6.44	0.0882
002112.XSHE	0.0	2015-10-28	1538468096.0	1057483008.0	38.5459	0.1	-72.6875	230.6798	8.0559	0.2	0.0
002121.XSHE	0.011048387096774201	2015-10-27	7422709248.0	5062294528.0	77.74600000000001	2.83	46.2932	61.8532	3.5692	11.35	0.13699999999999998
002123.XSHE	0.015967741935483875	2015-10-31	7046312448.0	2165721856.0	108.1302	2.57	1248.0542	-41.9623	2.2783	25.75	0.16
002168.XSHE	-0.03403225806451612	2015-10-31	1225432192.0	75818816.0	66.171	0.24	-122.1335	-74.473	5.7694	4.8	0.0036
002169.XSHE	0.028548387096774187	2015-10-23	1745379712.0	1022829440.0	47.2456	1.98	102.5083	113.1704	7.8957	10.2	0.0457
002176.XSHE	-0.0014516129032258042	2015-10-20	3331387392.0	1269190656.0	133.0495	0.55	119.4643	343.4433	6.864	7.12	0.01
002184.XSHE	0.09846774193548388	2015-10-31	1835365376.0	930125952.0	64.63600000000001	2.58	85.3086	116.5917	8.454	4.81	0.0907
002196.XSHE	0.015725806451612912	2015-10-21	1249746176.0	357457280.0	39.8353	1.02	-98.8342	391.0487	4.586	5.13	0.05
002202.XSHE	0.0036290322580645102	2015-10-24	53261402112.0	36661989376.0	369.5716	5.59	27.0629	20.1987	2.6242	9.46	0.3188
002212.XSHE	0.013467741935483871	2015-10-31	3093242624.0	1309170304.0	60.772	0.73	-623.6002	117.3418	3.4471	2.09	0.03
002218.XSHE	0.007258064516129028	2015-10-29	3925624832.0	1330633216.0	48.9591	0.71	11.6502	-910.4556	1.9018	10.69	0.03
002227.XSHE	0.05693548387096776	2015-10-29	967545344.0	214404096.0	66.9359	0.54	198.5676	81.9411	9.2187	4.28	0.0183
002249.XSHE	0.028709677419354842	2015-10-20	6837370880.0	3190190080.0	177.4507	2.02	-37.3863	59.7724	5.365	6.58	0.04
002255.XSHE	0.023548387096774186	2015-10-31	2940513792.0	1253923968.0	40.2276	0.9	-42.9672	63.3471	2.5522	4.79	0.027999999999999997
002266.XSHE	0.02725806451612903	2015-10-29	5380569088.0	2300600576.0	146.6231	0.74	-90.49600000000001	144.8711	5.1668	16.57	0.011000000000000001
002276.XSHE	0.06943548387096773	2015-10-23	4819172352.0	1977079424.0	189.368	1.71	234.0441	80.443	6.8122	2.67	0.0509
002298.XSHE	0.006774193548387096	2015-10-30	4647600128.0	1656814976.0	77.7857	0.52	-50.5862	518.6219	2.6568	4.74	0.0252
002300.XSHE	0.0020161290322580645	2015-10-29	3281725440.0	2000751872.0	40.8834	4.2	61.4754	24.5569	3.4459	5.76	0.12
002309.XSHE	0.03733870967741935	2015-10-28	18040240128.0	13254388736.0	81.7148	-2.18	-130.5521	28.6137	2.0298	-6.89	-0.15
002322.XSHE	0.015564516129032256	2015-10-31	3219555840.0	436631680.0	39.009	1.11	-67.2318	63.3652	3.3005	22.36	0.08
